,director,count,total_revenue,avg_revenue
5524,Andrew Adamson,4,2572706346,643176586.5
5572,Joel Schumacher,15,1505094130,100339608.66666667
5602,David Lynch,6,81990556,13665092.666666666
5655,Wes Anderson,8,437617433,54702179.125
5696,Bruce Beresford,5,353084179,70616835.8
5713,Chris Wedge,4,976874679,244218669.75
5714,Carlos Saldanha,4,2532451792,633112948.0
5953,Spike Jonze,4,203102813,50775703.25
6011,Michael Haneke,3,47585000,15861666.666666666
6046,Roland Emmerich,11,3798402596,345309326.90909094
6159,Ron Howard,15,3444834094,229655606.26666668
6201,Baz Luhrmann,5,761052840,152210568.0
6349,Alan J. Pakula,5,609006519,121801303.8
6431,Darren Aronofsky,6,761061349,126843558.16666667
6449,Warren Beatty,4,177209611,44302402.75
6482,John Singleton,8,645540841,80692605.125
